week,team_id,score
1,1,115.66
2,1,141.24
3,1,156.9
4,1,126.02
5,1,151.6
6,1,134.34
7,1,104.56
8,1,128.62
9,1,91.7
10,1,145.96
11,1,115.34
12,1,122.3
13,1,135.58
1,2,92.1
2,2,111.66
3,2,75.48
4,2,140.62
5,2,115.22
6,2,88.48
7,2,108.98
8,2,72.16
9,2,122.9
10,2,109.56
11,2,117.62
12,2,104.98
13,2,106.3
1,3,83.04
2,3,82.08
3,3,143.9
4,3,92.8
5,3,115.78
6,3,121.84
7,3,103.02
8,3,123.44
9,3,96.2
10,3,89.32
11,3,137.88
12,3,149.9
13,3,79.96
1,4,123.44
2,4,121.2
3,4,89.88
4,4,97.18
5,4,94.24
6,4,97.0
7,4,90.8
8,4,124.74
9,4,119.98
10,4,86.66
11,4,99.82
12,4,117.88
13,4,80.62
1,5,147.98
2,5,134.96
3,5,140.6
4,5,105.34
5,5,88.7
6,5,97.74
7,5,109.4
8,5,117.86
9,5,73.54
10,5,100.36
11,5,86.22
12,5,112.58
13,5,122.4
1,6,118.3
2,6,151.24
3,6,142.7
4,6,96.12
5,6,129.2
6,6,83.22
7,6,169.8
8,6,89.96
9,6,81.0
10,6,151.0
11,6,96.26
12,6,82.1
13,6,110.92
1,7,114.5
2,7,106.28
3,7,86.38
4,7,149.84
5,7,104.88
6,7,120.68
7,7,89.52
8,7,81.78
9,7,103.06
10,7,93.02
11,7,82.68
12,7,92.84
13,7,55.2
1,8,129.12
2,8,133.54
3,8,127.68
4,8,108.6
5,8,131.0
6,8,77.62
7,8,144.88
8,8,176.5
9,8,150.78
10,8,86.64
11,8,135.48
12,8,98.02
13,8,155.78
1,9,87.0
2,9,110.4
3,9,118.5
4,9,89.54
5,9,86.74
6,9,94.32
7,9,67.12
8,9,76.04
9,9,115.3
10,9,109.6
11,9,86.74
12,9,103.54
13,9,86.0
1,10,130.12
2,10,94.6
3,10,119.18
4,10,102.3
5,10,113.96
6,10,126.2
7,10,131.76
8,10,87.24
9,10,99.64
10,10,129.82
11,10,138.66
12,10,128.72
13,10,95.14
1,11,99.7
2,11,141.32
3,11,111.22
4,11,141.7
5,11,111.34
6,11,135.44
7,11,103.02
8,11,76.74
9,11,123.06
10,11,61.18
11,11,117.58
12,11,106.1
13,11,85.42
1,12,107.9
2,12,117.08
3,12,106.54
4,12,99.8
5,12,134.56
6,12,130.72
7,12,154.28
8,12,109.62
9,12,104.34
10,12,75.88
11,12,117.8
12,12,131.74
13,12,141.66
